time,E,T,I,N
0.0,0.1,0.1,0.1,0.1
0.01,0.1092290017925684,0.1043548555641477,0.0574619300847853,0.1092965580197168
0.02,0.1184018728476851,0.1088900424644135,0.0330560118127483,0.1185309819530673
0.03,0.1275213115352812,0.1136126475414134,0.0190533849304737,0.127703729872658
0.04,0.1365900642200212,0.1185299748396809,0.0110196661356093,0.1368152595247851
0.05,0.1456109456074262,0.1236496033458326,0.0064105827531767,0.145866027752562
0.06,0.1545868366788429,0.1289793866402493,0.0037663625645084,0.1548564898881853
0.07,0.1635206856429575,0.1345274587661006,0.0022494446974824,0.1637870990987711
0.08,0.1724155075298639,0.1403022348478929,0.001379276228217,0.172658305693677
0.09,0.181274387734509,0.1463124283821346,0.0008801399829922,0.1814705564081494
0.1,0.1901004827271962,0.152567058099372,0.0005938409607028,0.1902242936760449
0.11,0.1988970213897465,0.1590754584802486,0.0004296153635075,0.1989199549158938
0.12,0.2076673047072197,0.1658472765232191,0.0003353881438008,0.2075579718486346
0.13,0.2164147074202196,0.172892486004874,0.0002812824363776,0.2161387698710435
0.14,0.2251426797015706,0.1802214085295126,0.0002501578510173,0.2246627675072535
0.15,0.2338547486950576,0.1878447158625547,0.0002321849136085,0.2331303759600934
0.16,0.2425545173540391,0.1957734347511933,0.0002217203955121,0.2415419987779532
0.17,0.2512456622559852,0.2040189460462954,0.0002155349941503,0.2498980316490783
0.18,0.2599319389589075,0.2125930098690641,0.000211775636251,0.258198862337311
0.19,0.2686171786404107,0.2215077665261893,0.0002093848564856,0.2664448707499902
0.2,0.27730528795782,0.2307757445515759,0.0002077587986157,0.2746364291343374
0.21,0.2860002511486251,0.2404098712174512,0.0002065515383229,0.2827739023954264
0.22,0.2947061261238715,0.2504234787489068,0.0002055715041704,0.2908576485119001
0.23,0.3034270452739489,0.2608303130439646,0.0002047096515299,0.2988880190290328
0.24,0.3121672158291013,0.27164454198574,0.0002039076287957,0.3068653596126665
0.25,0.3209309145438593,0.2828807590624188,0.0002031354340553,0.3147900106346225
0.26,0.3297224894691748,0.2945539936772946,0.0002023784387516,0.322662307761847
0.27,0.3385463580878766,0.3066797175016554,0.0002016312755842,0.3304825825429562
0.28,0.3474070004631159,0.3192738445583041,0.0002008932635754,0.3382511629648344
0.29,0.3563089633839554,0.332352745448189,0.0002001663400004,0.3459683739645623
0.3,0.3652568575367097,0.3459332524458769,0.0001994537272436,0.3536345378907082
0.31,0.374255346253955,0.3600326506538538,0.0001987590496915,0.361249974909878
0.32,0.3833091470167904,0.374668689766181,0.0001980851444043,0.3688150033489747
0.33,0.3924230326897193,0.3898595953976408,0.0001974353264626,0.3763299399769483
0.34,0.4016018224975591,0.405624061109658,0.0001968128823585,0.3837951002300228
0.35,0.410850371952027,0.4219812367348029,0.0001962208163939,0.3912107983803243
0.36,0.4201735801312756,0.4389507554432797,0.0001956600920202,0.3985773476568292
0.37,0.4295763817649788,0.4565527263532949,0.0001951309921412,0.4058950603242803
0.38,0.4390637333035099,0.4748077080189071,0.000194634309413,0.4131642477201827
0.39,0.4486406138810011,0.493736724064786,0.0001941714063198,0.4203852202697344
0.4,0.4583120201333916,0.513361259807542,0.000193743250109,0.4275582874687877
0.41,0.468082957267195,0.5337032437429801,0.0001933482447992,0.4346837578506142
0.42,0.4779584360587787,0.5547850563141786,0.0001929842606048,0.4417619389418319
0.43,0.4879434632692367,0.5766295080803342,0.0001926486969618,0.4487931372017565
0.44,0.4980430321337618,0.5992598184880377,0.0001923418524298,0.455777657961595
0.45,0.5082621207018377,0.6226996288078063,0.0001920657191527,0.4627158053593973
0.46,0.5186056790947201,0.646972959503519,0.0001918189723397,0.4696078822713399
0.47,0.5290786231092554,0.6721042029031883,0.0001915983452595,0.4764541902486592
0.48,0.5396858281808983,0.6981181172485743,0.0001913967089277,0.483255029454784
0.49,0.5504321161340275,0.7250397708937573,0.0001912117202126,0.4900106986066141
0.5,0.561322250272925,0.7528945474459955,0.0001910473536112,0.4967214949219055
0.51,0.572360926045477,0.7817081150947356,0.0001909066250186,0.5033877140697196
0.52,0.5835527584445818,0.8115063654997545,0.0001907907643604,0.5100096501273494
0.53,0.594902276987935,0.8423154248490732,0.0001906873722076,0.5165875955424177
0.54,0.6064139138133571,0.8741615914058768,0.0001905869857661,0.5231218410996323
0.55,0.6180919929922587,0.9070712860766296,0.0001905000448301,0.5296126758929459
0.56,0.6299407236239609,0.9410710509935574,0.0001904256629787,0.5360603873019314
0.5700000000000001,0.6419641869818369,0.9761874578883803,0.0001903607268353,0.5424652609732625
0.58,0.6541663275003321,1.01244708176321,0.0001903055238201,0.5488275808048093
0.59,0.6665509435261249,1.049876467300821,0.0001902578881598,0.5551476289347504
